?cls	?xref
<http://purl.obolibrary.org/obo/XAO_0000232>	"UBERON:0001041"
<http://purl.obolibrary.org/obo/XAO_0000457>	"UBERON:0001202"
<http://purl.obolibrary.org/obo/XAO_0000114>	"UBERON:0001637"
<http://purl.obolibrary.org/obo/XAO_0005289>	"UBERON:0002361"
<http://purl.obolibrary.org/obo/XAO_0000192>	"UBERON:0001846"
<http://purl.obolibrary.org/obo/XAO_0004049>	"UBERON:0002222"
<http://purl.obolibrary.org/obo/XAO_0003241>	"CL:0000007"
<http://purl.obolibrary.org/obo/XAO_0004180>	"UBERON:0002264"
<http://purl.obolibrary.org/obo/XAO_0000142>	"UBERON:0000990"
<http://purl.obolibrary.org/obo/XAO_0006023>	"CL:0001029"
<http://purl.obolibrary.org/obo/XAO_0000058>	"UBERON:0002329"
<http://purl.obolibrary.org/obo/XAO_0005131>	"CL:0000127"
<http://purl.obolibrary.org/obo/XAO_0004151>	"UBERON:0010204"
<http://purl.obolibrary.org/obo/XAO_0005422>	"UBERON:0003037"
<http://purl.obolibrary.org/obo/XAO_0004160>	"UBERON:0001663"
<http://purl.obolibrary.org/obo/XAO_0000128>	"UBERON:0000945"
<http://purl.obolibrary.org/obo/XAO_1000001>	"UBERON:0000106"
<http://purl.obolibrary.org/obo/XAO_0000031>	"CL:0007018"
<http://purl.obolibrary.org/obo/XAO_0000204>	"UBERON:0002003"
<http://purl.obolibrary.org/obo/XAO_0000169>	"UBERON:0002481"
<http://purl.obolibrary.org/obo/XAO_0004139>	"UBERON:0004145"
<http://purl.obolibrary.org/obo/XAO_0000243>	"UBERON:0001155"
<http://purl.obolibrary.org/obo/XAO_0004510>	"CL:0000541"
<http://purl.obolibrary.org/obo/XAO_0005320>	"UBERON:0007375"
<http://purl.obolibrary.org/obo/XAO_0004553>	"CL:0000120"
<http://purl.obolibrary.org/obo/XAO_0003044>	"UBERON:0000089"
<http://purl.obolibrary.org/obo/XAO_0004083>	"UBERON:0005515"
<http://purl.obolibrary.org/obo/XAO_0006036>	"CL:0002377"
<http://purl.obolibrary.org/obo/XAO_0005029>	"UBERON:0002606"
<http://purl.obolibrary.org/obo/XAO_0001019>	"UBERON:0000931"
<http://purl.obolibrary.org/obo/XAO_0000176>	"UBERON:0002416"
<http://purl.obolibrary.org/obo/XAO_0000368>	"UBERON:0001619"
<http://purl.obolibrary.org/obo/XAO_0004205>	"UBERON:0006242"
<http://purl.obolibrary.org/obo/XAO_0005043>	"CL:0000594"
<http://purl.obolibrary.org/obo/XAO_0005187>	"UBERON:0002198"
<http://purl.obolibrary.org/obo/XAO_0000132>	"UBERON:0002423"
<http://purl.obolibrary.org/obo/XAO_0005080>	"UBERON:0004290"
<http://purl.obolibrary.org/obo/XAO_0000305>	"UBERON:0002546"
<http://purl.obolibrary.org/obo/XAO_0000136>	"UBERON:0001264"
<http://purl.obolibrary.org/obo/XAO_0003036>	"UBERON:0002389"
<http://purl.obolibrary.org/obo/XAO_0005015>	"GO:0030424"
<http://purl.obolibrary.org/obo/XAO_0000427>	"UBERON:0001675"
<http://purl.obolibrary.org/obo/XAO_0004080>	"UBERON:0005569"
<http://purl.obolibrary.org/obo/XAO_0003171>	"UBERON:0001697"
<http://purl.obolibrary.org/obo/XAO_0004615>	"GO:0005932"
<http://purl.obolibrary.org/obo/XAO_0003079>	"UBERON:0001095"
<http://purl.obolibrary.org/obo/XAO_0003180>	"UBERON:0005886"
<http://purl.obolibrary.org/obo/XAO_0004473>	"UBERON:2000083"
<http://purl.obolibrary.org/obo/XAO_0000341>	"UBERON:0004363"
<http://purl.obolibrary.org/obo/XAO_0003179>	"UBERON:0011153"
<http://purl.obolibrary.org/obo/XAO_0005158>	"UBERON:0001166"
<http://purl.obolibrary.org/obo/XAO_0000463>	"UBERON:0003096"
<http://purl.obolibrary.org/obo/XAO_0003016>	"CL:0000353"
<http://purl.obolibrary.org/obo/XAO_0000251>	"UBERON:0007124"
<http://purl.obolibrary.org/obo/XAO_0005326>	"GO:1901589"
<http://purl.obolibrary.org/obo/XAO_0003262>	"CL:0000329"
<http://purl.obolibrary.org/obo/XAO_0000285>	"UBERON:0005309"
<http://purl.obolibrary.org/obo/XAO_0005022>	"CL:0000182"
<http://purl.obolibrary.org/obo/XAO_0004566>	"UBERON:0002148"
<http://purl.obolibrary.org/obo/XAO_0003052>	"UBERON:0000993"
<http://purl.obolibrary.org/obo/XAO_0004196>	"UBERON:0001753"
<http://purl.obolibrary.org/obo/XAO_0003218>	"UBERON:0001790"
<http://purl.obolibrary.org/obo/XAO_0004260>	"UBERON:0004117"
<http://purl.obolibrary.org/obo/XAO_0004000>	"UBERON:0000058"
<http://purl.obolibrary.org/obo/XAO_0003086>	"UBERON:0003108"
<http://purl.obolibrary.org/obo/XAO_0004019>	"UBERON:0002412"
<http://purl.obolibrary.org/obo/XAO_0004146>	"CL:0002418"
<http://purl.obolibrary.org/obo/XAO_0003195>	"UBERON:0002105"
<http://purl.obolibrary.org/obo/XAO_0003023>	"CL:0000540"
<http://purl.obolibrary.org/obo/XAO_0003254>	"CL:0000242"
<http://purl.obolibrary.org/obo/XAO_0003145>	"UBERON:0002227"
<http://purl.obolibrary.org/obo/XAO_0006041>	"CL:0000136"
<http://purl.obolibrary.org/obo/XAO_0004573>	"CL:1001502"
<http://purl.obolibrary.org/obo/XAO_0003225>	"UBERON:0001795"
<http://purl.obolibrary.org/obo/XAO_0000352>	"UBERON:0003122"
<http://purl.obolibrary.org/obo/XAO_0000183>	"UBERON:0001773"
<http://purl.obolibrary.org/obo/XAO_0004026>	"UBERON:0010362"
<http://purl.obolibrary.org/obo/XAO_0004153>	"UBERON:0004864"
<http://purl.obolibrary.org/obo/XAO_0004035>	"UBERON:0008883"
<http://purl.obolibrary.org/obo/XAO_0000099>	"UBERON:0008896"
<http://purl.obolibrary.org/obo/XAO_0004069>	"CL:0000333"
<http://purl.obolibrary.org/obo/XAO_0000154>	"UBERON:0001255"
<http://purl.obolibrary.org/obo/XAO_0005122>	"GO:0005874"
<http://purl.obolibrary.org/obo/XAO_0003091>	"UBERON:0001644"
<http://purl.obolibrary.org/obo/XAO_0004006>	"CARO:0000069"
<http://purl.obolibrary.org/obo/XAO_0004006>	"UBERON:0000486"
<http://purl.obolibrary.org/obo/XAO_0004486>	"UBERON:0000064"
<http://purl.obolibrary.org/obo/XAO_0000455>	"UBERON:0001173"
<http://purl.obolibrary.org/obo/XAO_0000197>	"UBERON:0001844"
<http://purl.obolibrary.org/obo/XAO_0005165>	"CL:0000169"
<http://purl.obolibrary.org/obo/XAO_0003099>	"UBERON:0002422"
<http://purl.obolibrary.org/obo/XAO_0000110>	"UBERON:0007128"
<http://purl.obolibrary.org/obo/XAO_0003246>	"CL:0000211"
<http://purl.obolibrary.org/obo/XAO_0000001>	"UBERON:0000924"
<http://purl.obolibrary.org/obo/XAO_0004172>	"UBERON:0011944"
<http://purl.obolibrary.org/obo/XAO_0000387>	"UBERON:0001143"
<http://purl.obolibrary.org/obo/XAO_0004042>	"UBERON:0000383"
<http://purl.obolibrary.org/obo/XAO_0000140>	"UBERON:0004122"
<http://purl.obolibrary.org/obo/XAO_0003062>	"UBERON:0001441"
<http://purl.obolibrary.org/obo/XAO_0004579>	"UBERON:0000936"
<http://purl.obolibrary.org/obo/XAO_0000210>	"UBERON:0000044"
<http://purl.obolibrary.org/obo/XAO_0000056>	"UBERON:0003058"
<http://purl.obolibrary.org/obo/XAO_0003166>	"UBERON:0002091"
