?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/XAO_1000070>	"Nieuwkoop and Faber stage 58, corresponding to a tadpole of age about 44 days at 22-24 Celsius and having the following external morphological criteria: Forelimbs broken through. Guanophores appearing on abdomen and thighs (adult skin areas). All three claws present on hindlimbs. Length: 80 - 110 mm."	
<http://purl.obolibrary.org/obo/XAO_0000183>	"The opaque, fibrous, protective, outer layer of the eye containing collagen and elastic fiber."	"UBERON:0001773"
<http://purl.obolibrary.org/obo/XAO_0004095>	"The region of the lens of the eye where cells from the anterior epithelial capsule become transformed into the fibers that compose the lens substance."	
<http://purl.obolibrary.org/obo/XAO_0004534>	"Nucleus situated in the pallidum that provides auditory input to the torus semicircularis."	
<http://purl.obolibrary.org/obo/XAO_0005021>	"A cell that is located in the interstitial space between the seminiferous tubules and produces male androgens."	
<http://purl.obolibrary.org/obo/XAO_0000005>	"A thick plate of cells derived from the neural ectoderm in the head region of the embryo that develops into the olfactory epithelium of the nasal cavity."	"UBERON:0003050"
<http://purl.obolibrary.org/obo/XAO_1000043>	"Nieuwkoop and Faber stage 27, corresponding to an embryo of age 1 day, 7 hr 15 min at 22-24 Celsius and having the following external morphological criteria: Lateral flattening of eyes. Fin transluscent, except for region behind anus. Tail bud formation accentuated in lateral outline. Length: 3.4 - 3.7 mm."	
<http://purl.obolibrary.org/obo/XAO_0003112>	"Compartment of head somite 4 that is a precursor of the axial skeleton."	
<http://purl.obolibrary.org/obo/XAO_0006053>	"A cluster of lobe-like projections of glomeruli within the glomerular layer of the ofactory bulb, each cluster being referred to by their directionality (e.g. medial vs. lateral, and/or relative size, e.g. small vs. intermediate). Olfactory receptor neuron axons (ORNs, yellow) incoming from the olfactory nerve (ON) form distinct medial (MC), intermediate (IC), and lateral (LC) clusters in the glomerular layer."	
<http://purl.obolibrary.org/obo/XAO_0004046>	"Skeletal tissue that is part of the exoskeleton and derived from an odontogenic papilla."	"UBERON:0010365"
<http://purl.obolibrary.org/obo/XAO_0005079>	"Muscle-forming part of each myotome that splits from the dorsomedial edge and gives rise to the hypaxial musculature."	
<http://purl.obolibrary.org/obo/XAO_0004592>	"Nucleus that is located ventrally in the hypothalamus."	
<http://purl.obolibrary.org/obo/XAO_0005254>	"A functional unit located near the cell apex at the points of contact between epithelial cells, which in vertebrates is composed of the tight junction, the zonula adherens, and desmosomes. Functions in the regulation of cell polarity, tissue integrity and intercellular adhesion and permeability."	"GO:0043296"
<http://purl.obolibrary.org/obo/XAO_0005198>	"Cardiac chamber in which blood enters the heart."	"UBERON:0002081"
<http://purl.obolibrary.org/obo/XAO_0005087>	"Blastomere which lies adjacent to the prospective ventral midline of the vegetal hemisphere at the eight-cell stage."	
<http://purl.obolibrary.org/obo/XAO_0004401>	"A layer of signaling cells at the apex of a regenerating blastema, which has a vital role in regeneration."	
<http://purl.obolibrary.org/obo/XAO_0004261>	"Region encompassing the oral end of the alimentary canal."	
<http://purl.obolibrary.org/obo/XAO_0000250>	"Posterior segment of the neural tube, which develops into the hindbrain and spinal cord."	"UBERON:0003076"
<http://purl.obolibrary.org/obo/XAO_0003144>	"The principal auditory organ of the frog, which utilizes both mechanical and electrical (hair cell-based) frequency tuning mechanisms for hearing, located near the junction of the utricle and the saccule bones of the inner ear."	
<http://purl.obolibrary.org/obo/XAO_0004283>	"Appendage that is one of the anterior or posterior paired appendages (i.e. the forelimbs and hindlimbs)."	
<http://purl.obolibrary.org/obo/XAO_0004400>	"Tissue consisting of a cartilaginous rod or rods of a regenerating zeugopod segment of a limb."	
<http://purl.obolibrary.org/obo/XAO_0004206>	"One of the 3 domains of the U-shaped preplacodal ectoderm (PPE), which lies abutting and anterior to the neural plate."	
<http://purl.obolibrary.org/obo/XAO_1000027>	"Nieuwkoop and Faber stage 17, corresponding to an embryo of age 18 hr 45 min at 22-24 Celsius and having the following external morphological criteria: Late neural fold stage. Anterior part of neural plate oblong triangular, angles formed by eye anlagen. Neural folds approaching each other from blastopore up to anterior trunk region. Length: 1.5 - 1.6 mm."	
<http://purl.obolibrary.org/obo/XAO_0004069>	"Neural crest that lose their connections to other neuroepithelial cells during the delamination process and begin to migrate. This involves either partial or complete epithelial-to-mesenchymal transition. Numerous molecules have been demonstrated to guide a neural crest cell's migration to its target tissue."	"CL:0000333"
<http://purl.obolibrary.org/obo/XAO_1000095>	"Xenopus developmental stage that succeeds the embryonic stage."	"UBERON:0000092"
<http://purl.obolibrary.org/obo/XAO_1000001>	"Nieuwkoop and Faber stage 1, corresponding to an embryo of age 0 hr and having the following external morphological criteria: One cell stage, shortly after fertilization. Pigmentation darker ventrally than dorsally. Length: 1.4 - 1.5 mm."	"UBERON:0000106"
<http://purl.obolibrary.org/obo/XAO_0005027>	"The part of the brain that is the morphological boundary between the forebrain and midbrain."	
<http://purl.obolibrary.org/obo/XAO_0003134>	"Compartment of trunk somite 13 that is a precursor of muscle."	
<http://purl.obolibrary.org/obo/XAO_0000124>	"The fluid that circulates in the heart, arteries, capillaries, and veins carrying nourishment and oxygen to and bringing away waste products from all parts of the animal."	"UBERON:0000178"
<http://purl.obolibrary.org/obo/XAO_1000009>		
<http://purl.obolibrary.org/obo/XAO_0000452>	"Anatomical structure that includes small, calcitonin producing glands originating as epithelial growths from the sixth pharyngeal pouch."	"UBERON:0003092"
<http://purl.obolibrary.org/obo/XAO_0004107>	"A portion of hind limb tissue that is re-growing after damage or amputation."	
<http://purl.obolibrary.org/obo/XAO_0004613>	"Epidermal cell that lacks cilia."	
<http://purl.obolibrary.org/obo/XAO_0004515>	"The posterior part of the optic tectum."	
<http://purl.obolibrary.org/obo/XAO_0004430>	"The presumptive cells of the intermandibularis muscle."	
<http://purl.obolibrary.org/obo/XAO_0004313>	"Anatomical region at which two or more bones make contact and that includes some of the surrounding tissues of various types."	
<http://purl.obolibrary.org/obo/XAO_0003081>	"Anatomical structure consisting of a narrowly triangular chamber supported by a series of semicircular cartilages in which part of the sound-production system is located."	"UBERON:0001737"
<http://purl.obolibrary.org/obo/XAO_0000391>	"Vein that carries away fluid in the interstitial spaces."	
<http://purl.obolibrary.org/obo/XAO_1000091>	"Metamorphosing tadpole stage during which tail resorption occurs, comprising Nieuwkoop and Faber stages 58 to 66."	
<http://purl.obolibrary.org/obo/XAO_0003231>	"A cell that takes up stuff and metabolizes it."	"CL:0000212"
<http://purl.obolibrary.org/obo/XAO_0000425>	"The 15th somite located posterior to the head. This somite is resorbed at metamorphosis."	
<http://purl.obolibrary.org/obo/XAO_1000005>	"Embryonic stage during which gastrulation takes place, with a proportion of cells migrating below the surface of the embryo to form two inner layers (endoderm and mesoderm) and the cells which remain outside spreading over the whole surface of the embryo to form the ectoderm; comprising Nieuwkoop and Faber stages 10 to 12.5."	"UBERON:0000109"
<http://purl.obolibrary.org/obo/XAO_0000129>	"Portion of the alimentary canal bounded anteriorly by the pyloric sphincter and posteriorly by the cloacal sphincter."	"UBERON:0000160"
<http://purl.obolibrary.org/obo/XAO_0000195>	"Inner ear structure into which the semicircular ducts find their outlet. Along with the saccule, it is part of the balancing apparatus (membranous labyrinth) located within the vestibule of the osseous labyrinth."	"UBERON:0001853"
<http://purl.obolibrary.org/obo/XAO_0000404>	"Transient occipital somite that exists from NF stages 18 to 29/30 only."	
<http://purl.obolibrary.org/obo/XAO_0004306>	"A midline paired symmetrical structure within the brain; the main product of the embryonic diencephalon."	
<http://purl.obolibrary.org/obo/XAO_0000235>	"Two migratory heart primordia that move ventrally during the course of neurulation, and whose fusion begins at the ventral midline at NF stage 16."	"UBERON:0007005"
<http://purl.obolibrary.org/obo/XAO_0000026>	"The most posterior segments of the population of migratory cells of the cranial neural crest, contributing to the branchial arches 3 and 4. Branchial crest cells migrate in two distinct streams referred to as the anterior and posterior branchial crest."	
<http://purl.obolibrary.org/obo/XAO_0005001>	"Mineralized bone tissue that has terminally differentiated osteoblasts but lacks osteocytes."	"UBERON:4000122"
<http://purl.obolibrary.org/obo/XAO_0000449>	"The second pharyngeal/branchial arch; it arises as a thickening of the pharygeal wall between the first and second branchial clefts; contains the second aortic arch; forms part of the hyoid bone, tongue and facial musculature."	"UBERON:0003115"
<http://purl.obolibrary.org/obo/XAO_0000451>	"The third in a series of paired bars in the wall of the pharynx, within which are formed the third aortic arch and the cartilage bar of the visceral skeleton, and forms and supports the gills."	"UBERON:0003116"
