?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/XAO_0004416>	<http://www.w3.org/2000/01/rdf-schema#label>	"claw primordium"	
<http://purl.obolibrary.org/obo/XAO_0000465>	<http://www.w3.org/2000/01/rdf-schema#label>	"caudal lateral line"	
<http://purl.obolibrary.org/obo/XAO_0003221>	<http://www.w3.org/2000/01/rdf-schema#label>	"retinal inner nuclear layer"	
<http://purl.obolibrary.org/obo/XAO_0003009>	<http://www.w3.org/2000/01/rdf-schema#label>	"disaggregated/reaggregated ectoderm treated with activin"	
<http://purl.obolibrary.org/obo/XAO_0003112>	<http://www.w3.org/2000/01/rdf-schema#label>	"sclerotome of head somite 4"	
<http://purl.obolibrary.org/obo/XAO_0000120>	<http://www.w3.org/2000/01/rdf-schema#label>	"external gill"	
<http://purl.obolibrary.org/obo/XAO_0004022>	<http://www.w3.org/2000/01/rdf-schema#label>	"cartilaginous condensation"	
<http://purl.obolibrary.org/obo/XAO_0005319>	<http://www.w3.org/2000/01/rdf-schema#label>	"actin filament"	
<http://purl.obolibrary.org/obo/XAO_0005060>	<http://www.w3.org/2000/01/rdf-schema#label>	"glomerular mesangial cell"	
<http://purl.obolibrary.org/obo/XAO_0004291>	<http://www.w3.org/2000/01/rdf-schema#label>	"cell-free extract"	
<http://purl.obolibrary.org/obo/XAO_0004525>	<http://www.w3.org/2000/01/rdf-schema#label>	"medium cavity"	
<http://purl.obolibrary.org/obo/XAO_0005212>	<http://www.w3.org/2000/01/rdf-schema#label>	"proximal-distal axis"	
<http://purl.obolibrary.org/obo/XAO_0005103>	<http://www.w3.org/2000/01/rdf-schema#label>	"blastomere D2.2.2"	
<http://purl.obolibrary.org/obo/XAO_0004299>	<http://www.w3.org/2000/01/rdf-schema#label>	"hand"	
<http://purl.obolibrary.org/obo/XAO_0004559>	<http://www.w3.org/2000/01/rdf-schema#label>	"lateral forebrain bundle"	
<http://purl.obolibrary.org/obo/XAO_0004221>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior lateral line placode"	
<http://purl.obolibrary.org/obo/XAO_0004452>	<http://www.w3.org/2000/01/rdf-schema#label>	"m. rectus superior primordium"	
<http://purl.obolibrary.org/obo/XAO_0004065>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventral fin margin"	
<http://purl.obolibrary.org/obo/XAO_0004105>	<http://www.w3.org/2000/01/rdf-schema#label>	"pronephric tubule"	
<http://purl.obolibrary.org/obo/XAO_0005247>	<http://www.w3.org/2000/01/rdf-schema#label>	"hindgut endoderm"	
<http://purl.obolibrary.org/obo/XAO_0005078>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsomedial edge of myotome"	
<http://purl.obolibrary.org/obo/XAO_0000150>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete loop of Henle"	
<http://purl.obolibrary.org/obo/XAO_0003167>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete fore metapodium"	
<http://purl.obolibrary.org/obo/XAO_0000294>	<http://www.w3.org/2000/01/rdf-schema#label>	"blastocoel"	
<http://purl.obolibrary.org/obo/XAO_0004349>	<http://www.w3.org/2000/01/rdf-schema#label>	"m. constrictor laryngis"	
<http://purl.obolibrary.org/obo/XAO_0004093>	<http://www.w3.org/2000/01/rdf-schema#label>	"profundal placode"	
<http://purl.obolibrary.org/obo/XAO_0000101>	<http://www.w3.org/2000/01/rdf-schema#label>	"liver diverticulum"	
<http://purl.obolibrary.org/obo/XAO_0005305>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventral endomesoderm"	
<http://purl.obolibrary.org/obo/XAO_0004595>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventrolateral thalamic nucleus"	
<http://purl.obolibrary.org/obo/XAO_0004482>	<http://www.w3.org/2000/01/rdf-schema#label>	"epicardial precursor cell"	
<http://purl.obolibrary.org/obo/XAO_0005041>	<http://www.w3.org/2000/01/rdf-schema#label>	"lateral semicircular canal"	
<http://purl.obolibrary.org/obo/XAO_0003104>	<http://www.w3.org/2000/01/rdf-schema#label>	"myotome of head somite 1"	
<http://purl.obolibrary.org/obo/XAO_0000239>	<http://www.w3.org/2000/01/rdf-schema#label>	"hepato-pancreatic duct"	
<http://purl.obolibrary.org/obo/XAO_0005185>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsolateral commissural neuron"	
<http://purl.obolibrary.org/obo/XAO_0004423>	<http://www.w3.org/2000/01/rdf-schema#label>	"trunk vasculature"	
<http://purl.obolibrary.org/obo/XAO_0004141>	<http://www.w3.org/2000/01/rdf-schema#label>	"spiral septum"	
<http://purl.obolibrary.org/obo/XAO_0004432>	<http://www.w3.org/2000/01/rdf-schema#label>	"m. orbitohyoideus primordium"	
<http://purl.obolibrary.org/obo/XAO_0005049>	<http://www.w3.org/2000/01/rdf-schema#label>	"prethalamus basal plate"	
<http://purl.obolibrary.org/obo/XAO_0000374>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal lymph space"	
<http://purl.obolibrary.org/obo/XAO_0000265>	<http://www.w3.org/2000/01/rdf-schema#label>	"visceral pouch 6"	
<http://purl.obolibrary.org/obo/XAO_0004532>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior amygdala"	
<http://purl.obolibrary.org/obo/XAO_0005233>	<http://www.w3.org/2000/01/rdf-schema#label>	"ionocyte, beta subtype"	
<http://purl.obolibrary.org/obo/XAO_0004057>	<http://www.w3.org/2000/01/rdf-schema#label>	"tail tip"	
<http://purl.obolibrary.org/obo/XAO_0004575>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleus accumbens"	
<http://purl.obolibrary.org/obo/XAO_0003066>	<http://www.w3.org/2000/01/rdf-schema#label>	"hindlimb bud"	
<http://purl.obolibrary.org/obo/XAO_0004112>	<http://www.w3.org/2000/01/rdf-schema#label>	"retinal rod cell"	
<http://purl.obolibrary.org/obo/XAO_0000052>	<http://www.w3.org/2000/01/rdf-schema#label>	"cardinal vein"	
<http://purl.obolibrary.org/obo/XAO_0004256>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventral abdominal vein"	
<http://purl.obolibrary.org/obo/XAO_0000225>	<http://www.w3.org/2000/01/rdf-schema#label>	"trigeminal placode"	
<http://purl.obolibrary.org/obo/XAO_0004403>	<http://www.w3.org/2000/01/rdf-schema#label>	"fibrocellular pad"	
<http://purl.obolibrary.org/obo/XAO_0001011>	<http://www.w3.org/2000/01/rdf-schema#label>	"blood vessel"	
<http://purl.obolibrary.org/obo/XAO_1000054>	<http://www.w3.org/2000/01/rdf-schema#label>	"NF stage 42"	
<http://purl.obolibrary.org/obo/XAO_0005204>	<http://www.w3.org/2000/01/rdf-schema#label>	"left-right axis"	
<http://purl.obolibrary.org/obo/XAO_0000185>	<http://www.w3.org/2000/01/rdf-schema#label>	"iris"	
<http://purl.obolibrary.org/obo/XAO_0005035>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mauthner cell"	
<http://purl.obolibrary.org/obo/XAO_0004028>	<http://www.w3.org/2000/01/rdf-schema#label>	"fibrocartilage"	
<http://purl.obolibrary.org/obo/XAO_0003234>	<http://www.w3.org/2000/01/rdf-schema#label>	"alkali secreting cell"	
<http://purl.obolibrary.org/obo/XAO_0003260>	<http://www.w3.org/2000/01/rdf-schema#label>	"nucleate erythrocyte"	
<http://purl.obolibrary.org/obo/XAO_0003268>	<http://www.w3.org/2000/01/rdf-schema#label>	"cardiac progenitor cell"	
<http://purl.obolibrary.org/obo/XAO_1000014>	<http://www.w3.org/2000/01/rdf-schema#label>	"NF stage 4 (8-cell)"	
<http://purl.obolibrary.org/obo/XAO_0005251>	<http://www.w3.org/2000/01/rdf-schema#label>	"anterior hindgut endoderm"	
<http://purl.obolibrary.org/obo/XAO_0000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"skin"	
<http://purl.obolibrary.org/obo/XAO_0004458>	<http://www.w3.org/2000/01/rdf-schema#label>	"peripheral retina"	
