?x	?p	?y
<http://purl.obolibrary.org/obo/XAO_0006017>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000039>
<http://purl.obolibrary.org/obo/XAO_0004026>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_1000046>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_1000080>
<http://purl.obolibrary.org/obo/XAO_0005049>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0004304>
<http://purl.obolibrary.org/obo/XAO_0005127>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000232>
<http://purl.obolibrary.org/obo/XAO_0000431>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003075>
<http://purl.obolibrary.org/obo/XAO_0004401>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000023>
<http://purl.obolibrary.org/obo/XAO_0000453>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000049>
<http://purl.obolibrary.org/obo/XAO_1000025>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_1000006>
<http://purl.obolibrary.org/obo/XAO_0000343>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000046>
<http://purl.obolibrary.org/obo/XAO_0004405>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000057>
<http://purl.obolibrary.org/obo/XAO_0000386>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000384>
<http://purl.obolibrary.org/obo/XAO_1000075>	<http://purl.obolibrary.org/obo/xao#preceded_by>	<http://purl.obolibrary.org/obo/XAO_1000074>
<http://purl.obolibrary.org/obo/XAO_0003190>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003004>
<http://purl.obolibrary.org/obo/XAO_0004097>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000049>
<http://purl.obolibrary.org/obo/XAO_0000357>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000114>
<http://purl.obolibrary.org/obo/XAO_0003131>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000420>
<http://purl.obolibrary.org/obo/XAO_0004558>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0004622>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000059>
<http://purl.obolibrary.org/obo/XAO_0004242>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000053>
<http://purl.obolibrary.org/obo/XAO_0000133>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0003266>
<http://purl.obolibrary.org/obo/XAO_0003232>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
